CAPM,Name,SAPMG,GAPM,SAPM
0.2,J. Doe #76,0.0,0.0,0.0
0.06666666666666667,Andreas,0.4666666666666667,0.0,0.4666666666666667
0.0,[SYSTEM],0.0,0.0,0.0
1.2666666666666666,Ingrid,1.4666666666666666,0.3333333333333333,1.8
2.8666666666666667,Frank,0.4666666666666667,0.5333333333333333,1.0
8.666666666666666,Renate,0.3333333333333333,0.6666666666666666,1.0
1.4,Josef,0.2,0.26666666666666666,0.4666666666666667
4.533333333333333,Elisabeth,0.4666666666666667,1.2,1.6666666666666667
4.0,Reante,0.13333333333333333,0.2,0.3333333333333333
41.53333333333333,Wolfgang,1.1333333333333333,0.8,1.9333333333333333
10.0,Susanne,0.4666666666666667,0.06666666666666667,0.5333333333333333
5.0,Petra,1.6,0.26666666666666666,1.8666666666666667
